STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Connecticut,1972,House,3,Joseph I. Lieberman,Democratic,103903
Connecticut,1972,House,3,Lawrence J. DeNardis,Republican,117024
Connecticut,1972,House,3,Joelle R. Fishman,Citizens,2711
Connecticut,1972,House,4,John A. Phillips,Democratic,74326
Connecticut,1972,House,4,Stewart B. McKinney,Republican,124285
Connecticut,1972,House,5,William R. Ratchford,Democratic,117316
Connecticut,1972,House,5,Edward M. Donahue,Republican,115614
Connecticut,1972,House,6,Anthony Toby Moffett,Democratic,142685
Connecticut,1972,House,6,Nicholas Schaus,Republican,98331
Connecticut,1972,House,6,Louis J. Marietta,Independent,995
Connecticut,1990,Presidential,,,,578313
Connecticut,1990,Presidential,,,,569455
Connecticut,1990,Presidential,,,,134456
Connecticut,1880,Presidential,,,,138761
Connecticut,1980,Presidential,,,,677210
Connecticut,1980,Presidential,,,,541732
Connecticut,1972,President,,,,541732
Connecticut,1972,President,,,,677210
Connecticut,1972,President,,,,171807
Connecticut,1972,President,,,,8570
Connecticut,1972,President,,,,6130
Connecticut,1972,President,,,,836
DELAWARE,1980,PRESIDENT,,,,105754
DELAWARE,1980,PRESIDENT,,,,111252
DELAWARE,1980,PRESIDENT,,,,16288
DELAWARE,1980,PRESIDENT,,,,1974
DELAWARE,1980,PRESIDENT,,,,400
DELAWARE,1980,HOUSE,,Robert L. Maxwell,Democratic,81227
DELAWARE,1980,HOUSE,,Thomas B. Evans Jr.,Republican,133842
DELAWARE,1980,HOUSE,,Lawrence D. Sullivan,Libertarian,1506
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,130231
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,23313
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,16131
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,1826
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,1104
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,369
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,173
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,52
DISTRICT OF COLUMBIA,1980,PRESIDENTIAL,,,,690
Delaware,1880,Presidential,,,,27776
Delaware,1980,Presidential,,,,111252
Delaware,1980,Presidential,,,,81118
District of Columbia,1972,Delegate,,Walter E. Fauntroy,Democrat,111631
District of Columbia,1972,Delegate,,Robert J. Roehr,Republican,21021
District of Columbia,1972,Delegate,,Joseph D. Butler,D.C. Statehood,14325
District of Columbia,1972,Delegate,,Write-in,Write-in,2979
District of Columbia,1860,Presidential,,,,3
FLORIDA,1980,HOUSE,1,Earl Hutto,Democratic,119829
FLORIDA,1980,HOUSE,1,Warren Briggs,Republican,75939
FLORIDA,1972,HOUSE,10,Richard D (Sparky) Sparkman,Democrat,72646
FLORIDA,1972,HOUSE,10,L. A. Skip Bafalis,Republican,272393
FLORIDA,1972,HOUSE,11,Dan Mica,Democrat,137520
FLORIDA,1972,HOUSE,11,Al Coogler,Republican,107164
FLORIDA,1972,HOUSE,12,Alan S. Becker,Democrat,128561
FLORIDA,1972,HOUSE,12,Clay Shaw,Republican,127828
FLORIDA,1972,HOUSE,13,William Lehman,Democrat,42830
FLORIDA,1972,HOUSE,13,Alvin E. Al Entin,Republican,95820
FLORIDA,1972,HOUSE,14,Claude Pepper,Democrat,32027
FLORIDA,1972,HOUSE,14,Evelio S. Estrella,Republican,132952
FLORIDA,1972,HOUSE,15,Dante B. Fascell,Democrat,70433
FLORIDA,1972,HOUSE,15,Herbert J. Hoodwin,Republican,
FLORIDA,1980,HOUSE,2,Don Fuqua,Democratic,138252
FLORIDA,1980,HOUSE,2,John R. LaCapra,Republican,57588
FLORIDA,1980,HOUSE,3,Charles E. Bennett,Democratic,104672
FLORIDA,1980,HOUSE,3,Harry Radcliffe,Republican,31208
FLORIDA,1980,HOUSE,4,Bill Chappell,Democratic,147775
FLORIDA,1980,HOUSE,4,Barney E. Dillard Jr.,Republican,76924
FLORIDA,1980,HOUSE,5,David Best,Democratic,140903
FLORIDA,1980,HOUSE,5,Bill McCollum,Republican,177603
FLORIDA,1980,HOUSE,6,C. W. Bill Young,Republican,0
FLORIDA,1980,HOUSE,7,Sam M. Gibbons,Democratic,132529
FLORIDA,1980,HOUSE,7,"Charles F. ""Chuck"" Jones",Republican,82138
FLORIDA,1980,HOUSE,8,Andy Ireland,Democratic,151613
FLORIDA,1980,HOUSE,8,Scott Nicholsen,Republican,61820
FLORIDA,1980,HOUSE,8,Rod Rebholz,Independent,5480
FLORIDA,1980,HOUSE,9,Bill Nelson,Democratic,139468
FLORIDA,1980,HOUSE,9,Stan Dowiat,Republican,58734
FLORIDA,1980,PRESIDENT,,,,1419475
FLORIDA,1980,PRESIDENT,,,,2046951
FLORIDA,1980,PRESIDENT,,,,183692
FLORIDA,1980,PRESIDENT,,,,30524
FLORIDA,1980,PRESIDENT,,,,285
FLORIDA,1980,SENATE,,Bill Gunter,Democratic,1705409
FLORIDA,1980,SENATE,,Paula Hawkins,Republican,1822460
FLORIDA,1980,SENATE,,Andrea Baron,Write-in,159
Florida,1990,Presidential,,,,2173310
Florida,1990,Presidential,,,,2073045
Florida,1990,Presidential,,,,180802
Florida,1880,Presidential,,,,91033
Florida,1980,Presidential,,,,2046951
Florida,1980,Presidential,,,,1419475
GEORGIA,1972,HOUSE,1,Bo Ginn,Democrat,82145
GEORGIA,1972,HOUSE,1,Write-in,Write-in,1
GEORGIA,1976,HOUSE,10,Doug Barnard Jr.,Democratic,102177
GEORGIA,1976,HOUSE,10,Bruce J. Neubauer,Republican,25194
GEORGIA,1976,HOUSE,10,,Write-in,7
GEORGIA,1972,HOUSE,2,Charles Hatcher,Democrat,92264
